gene ID,gene name,mRNA,miRNAs
ENSG00000198888,MT-ND1,ENST00000361390.2,"hsa-let-7e-5p,hsa-miR-93-5p,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-146a-5p,hsa-miR-28-5p,hsa-miR-20a-5p,hsa-miR-182-5p,hsa-miR-122-5p,hsa-miR-30d-5p,hsa-miR-155-5p,hsa-miR-181a-5p,hsa-miR-500a-5p,hsa-miR-2278,hsa-miR-320a-3p,hsa-miR-26b-5p,hsa-miR-29b-3p,hsa-miR-744-5p,hsa-miR-196a-5p,hsa-miR-374a-5p,hsa-miR-574-5p,hsa-miR-877-5p,hsa-miR-320c,hsa-miR-216b-5p,hsa-miR-185-5p,hsa-miR-194-5p,hsa-let-7b-5p,hsa-let-7c-5p,hsa-miR-3129-5p,hsa-miR-1303,hsa-miR-455-3p,hsa-miR-190a-5p,hsa-miR-455-5p,hsa-miR-652-3p"
ENSG00000198763,MT-ND2,ENST00000361453.3,"hsa-miR-760,hsa-let-7i-5p,hsa-let-7e-5p,hsa-miR-93-5p,hsa-miR-186-5p,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-146a-5p,hsa-miR-16-5p,hsa-miR-20a-5p,hsa-miR-296-3p,hsa-miR-26a-5p,hsa-miR-142-3p,hsa-miR-182-5p,hsa-miR-483-5p,hsa-miR-103a-3p,hsa-miR-181b-5p,hsa-miR-122-5p,hsa-miR-885-3p,hsa-miR-19a-3p,hsa-miR-378a-3p,hsa-miR-320a-3p,hsa-miR-744-5p,hsa-miR-193b-3p,hsa-miR-125b-2-3p,hsa-miR-196a-5p,hsa-miR-574-5p,hsa-miR-877-5p,hsa-miR-23b-3p,hsa-miR-194-5p,hsa-let-7a-5p,hsa-let-7b-5p,hsa-miR-19b-3p,hsa-miR-92a-3p,hsa-let-7c-5p,hsa-miR-148b-3p,hsa-miR-17-5p,hsa-miR-151a-3p,hsa-miR-23a-3p,hsa-miR-342-5p"
ENSG00000198804,MT-CO1,ENST00000361624.2,"hsa-miR-760,hsa-let-7e-5p,hsa-miR-16-2-3p,hsa-miR-769-3p,hsa-miR-186-5p,hsa-miR-92b-3p,hsa-miR-93-5p,hsa-miR-454-3p,hsa-miR-130a-3p,hsa-miR-149-5p,hsa-miR-378g,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-27b-3p,hsa-miR-20a-5p,hsa-miR-222-3p,hsa-miR-26a-5p,hsa-miR-6763-5p,hsa-miR-15b-5p,hsa-miR-103a-3p,hsa-miR-193a-5p,hsa-miR-181b-5p,hsa-miR-301b-3p,hsa-miR-122-5p,hsa-miR-30d-5p,hsa-miR-181a-5p,hsa-miR-99b-3p,hsa-miR-378a-3p,hsa-miR-19a-3p,hsa-miR-320a-3p,hsa-miR-29a-3p,hsa-miR-26b-5p,hsa-miR-744-5p,hsa-miR-766-3p,hsa-miR-193b-3p,hsa-miR-196a-5p,hsa-miR-374a-5p,hsa-miR-550a-5p,hsa-miR-361-5p,hsa-miR-378a-5p,hsa-miR-877-5p,hsa-miR-23b-3p,hsa-miR-194-5p,hsa-let-7a-5p,hsa-let-7b-5p,hsa-miR-615-3p,hsa-miR-19b-3p,hsa-miR-92a-3p,hsa-let-7c-5p,hsa-miR-95-3p,hsa-miR-374b-5p,hsa-miR-421,hsa-miR-374c-5p,hsa-miR-210-3p,hsa-miR-342-3p,hsa-miR-455-3p,hsa-miR-190a-5p,hsa-miR-151a-3p,hsa-miR-23a-3p"
ENSG00000198712,MT-CO2,ENST00000361739.1,"hsa-miR-192-5p,hsa-miR-186-5p,hsa-miR-93-5p,hsa-miR-130a-3p,hsa-miR-30e-5p,hsa-miR-16-5p,hsa-miR-20a-5p,hsa-miR-26a-5p,hsa-miR-3934-5p,hsa-miR-301a-3p,hsa-miR-103a-3p,hsa-miR-301b-3p,hsa-miR-122-5p,hsa-miR-181a-5p,hsa-miR-130b-3p,hsa-miR-378a-3p,hsa-miR-320a-3p,hsa-miR-504-5p,hsa-miR-744-5p,hsa-miR-18a-5p,hsa-miR-196a-5p,hsa-miR-374a-5p,hsa-miR-877-5p,hsa-miR-194-5p,hsa-let-7b-5p,hsa-miR-196b-5p,hsa-miR-92a-3p,hsa-let-7c-5p,hsa-miR-33a-5p,hsa-miR-17-5p,hsa-miR-652-3p,hsa-miR-100-5p"
ENSG00000228253,MT-ATP8,ENST00000361851.1,"hsa-miR-196a-5p,hsa-let-7e-5p,hsa-miR-186-5p,hsa-miR-130a-3p,hsa-miR-501-5p,hsa-let-7a-5p,hsa-miR-10b-5p,hsa-miR-26a-5p,hsa-miR-3127-5p,hsa-let-7b-5p,hsa-miR-196b-5p,hsa-let-7g-5p,hsa-let-7c-5p,hsa-miR-122-5p,hsa-miR-98-5p,hsa-miR-500a-5p,hsa-let-7f-5p,hsa-miR-210-3p,hsa-miR-1303,hsa-miR-320a-3p,hsa-miR-455-3p,hsa-miR-26b-5p,hsa-miR-151a-3p,hsa-miR-23a-3p"
ENSG00000198899,MT-ATP6,ENST00000361899.2,"hsa-miR-192-5p,hsa-let-7e-5p,hsa-miR-93-5p,hsa-miR-186-5p,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-30e-5p,hsa-miR-107,hsa-miR-16-5p,hsa-miR-296-3p,hsa-miR-20a-5p,hsa-miR-26a-5p,hsa-miR-222-3p,hsa-miR-15b-5p,hsa-miR-6721-5p,hsa-miR-345-5p,hsa-miR-103a-3p,hsa-miR-181b-5p,hsa-miR-3611,hsa-miR-122-5p,hsa-miR-6802-5p,hsa-miR-30d-5p,hsa-miR-3679-5p,hsa-miR-542-3p,hsa-miR-130b-3p,hsa-miR-320a-3p,hsa-miR-26b-5p,hsa-miR-18a-5p,hsa-miR-744-5p,hsa-miR-769-5p,hsa-miR-196a-5p,hsa-miR-374a-5p,hsa-miR-18a-3p,hsa-miR-23b-3p,hsa-miR-6865-5p,hsa-miR-194-5p,hsa-let-7a-5p,hsa-miR-34a-5p,hsa-let-7b-5p,hsa-miR-615-3p,hsa-miR-196b-5p,hsa-miR-19b-3p,hsa-miR-92a-3p,hsa-let-7c-5p,hsa-miR-30c-5p,hsa-miR-200c-3p,hsa-miR-17-5p,hsa-miR-210-3p,hsa-miR-455-3p,hsa-miR-190a-5p,hsa-miR-151a-3p,hsa-miR-23a-3p,hsa-miR-652-3p"
ENSG00000198938,MT-CO3,ENST00000362079.2,"hsa-let-7e-5p,hsa-miR-186-5p,hsa-miR-93-5p,hsa-miR-93-3p,hsa-miR-130a-3p,hsa-miR-6832-5p,hsa-miR-107,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-20a-5p,hsa-miR-296-3p,hsa-miR-26a-5p,hsa-miR-483-5p,hsa-miR-181b-5p,hsa-miR-106b-5p,hsa-miR-122-5p,hsa-miR-30d-5p,hsa-miR-32-5p,hsa-miR-503-5p,hsa-miR-320a-3p,hsa-miR-26b-5p,hsa-miR-18a-5p,hsa-miR-744-5p,hsa-miR-140-5p,hsa-miR-196a-5p,hsa-miR-193a-3p,hsa-miR-6834-5p,hsa-miR-296-5p,hsa-miR-221-3p,hsa-miR-194-5p,hsa-let-7b-5p,hsa-miR-196b-5p,hsa-miR-28-3p,hsa-miR-19b-3p,hsa-miR-92a-3p,hsa-miR-17-5p,hsa-miR-99b-5p,hsa-miR-181d-5p,hsa-miR-1303,hsa-miR-342-3p,hsa-miR-151a-3p,hsa-miR-455-5p,hsa-miR-652-3p"
ENSG00000198840,MT-ND3,ENST00000361227.2,"hsa-miR-760,hsa-let-7e-5p,hsa-miR-181b-5p,hsa-miR-186-5p,hsa-miR-17-5p,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-320c,hsa-miR-500a-5p,hsa-miR-320a-3p,hsa-miR-194-5p,hsa-miR-20a-5p,hsa-miR-126-5p,hsa-miR-193b-3p,hsa-miR-100-5p"
ENSG00000212907,MT-ND4L,ENST00000361335.1,"hsa-miR-196a-5p,hsa-miR-374a-5p,hsa-miR-15a-5p,hsa-miR-28-5p,hsa-miR-194-5p,hsa-miR-27b-3p,hsa-miR-20a-5p,hsa-let-7a-5p,hsa-miR-26a-5p,hsa-let-7b-5p,hsa-miR-29c-3p,hsa-miR-196b-5p,hsa-miR-103a-3p,hsa-miR-181b-5p,hsa-miR-92a-3p,hsa-let-7c-5p,hsa-miR-33a-5p,hsa-miR-122-5p,hsa-miR-17-5p,hsa-miR-15a-3p,hsa-miR-96-5p,hsa-miR-362-5p,hsa-miR-503-5p,hsa-miR-32-5p,hsa-miR-320a-3p,hsa-miR-29a-3p,hsa-miR-26b-5p,hsa-miR-18a-5p,hsa-miR-652-3p"
ENSG00000198886,MT-ND4,ENST00000361381.2,"hsa-let-7e-5p,hsa-miR-93-5p,hsa-miR-186-5p,hsa-miR-454-3p,hsa-miR-130a-3p,hsa-miR-30e-5p,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-296-3p,hsa-miR-20a-5p,hsa-miR-26a-5p,hsa-miR-222-3p,hsa-miR-27a-3p,hsa-miR-103a-3p,hsa-miR-181b-5p,hsa-miR-106b-5p,hsa-miR-122-5p,hsa-miR-181a-5p,hsa-miR-130b-3p,hsa-miR-378a-3p,hsa-miR-19a-3p,hsa-miR-320a-3p,hsa-miR-29a-3p,hsa-miR-18a-5p,hsa-miR-744-5p,hsa-miR-140-5p,hsa-miR-196a-5p,hsa-miR-374a-5p,hsa-miR-200b-3p,hsa-miR-574-5p,hsa-miR-320c,hsa-miR-185-5p,hsa-miR-194-5p,hsa-let-7a-5p,hsa-miR-34a-5p,hsa-let-7b-5p,hsa-miR-196b-5p,hsa-miR-28-3p,hsa-miR-19b-3p,hsa-miR-320b,hsa-miR-92a-3p,hsa-miR-33a-5p,hsa-let-7c-5p,hsa-miR-17-5p,hsa-miR-374b-5p,hsa-let-7f-5p,hsa-miR-210-3p,hsa-miR-455-3p,hsa-miR-151a-3p,hsa-miR-101-3p,hsa-miR-652-3p"
