mirna_id	mrna_id	gene_id	source_type	species
hsa-let-7e-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-93-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-130a-3p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-454-3p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-146a-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-28-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-20a-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-182-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-122-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-30d-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-155-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-181a-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-500a-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-2278	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-320a-3p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-26b-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-29b-3p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-744-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-196a-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-374a-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-574-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-877-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-320c	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-216b-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-185-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-194-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-let-7b-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-let-7c-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-3129-5p	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-1303	ENST00000361390.2	ENSG00000198888	hyb	human
hsa-miR-455-3p	ENST00000361390.2	ENSG00000198888	hyb	human
