mirna_id	mrna_id	gene_id	source_type	species
mmu-miR-411-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-let-7a-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-17-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-16-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-136-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-652-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-93-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-26a-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-376a-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-382-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-128-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-200a-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-19b-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-let-7i-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-let-7f-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-146b-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-186-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-let-7d-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-3099-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-30d-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-3070-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-375-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-20a-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-190a-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-300-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-541-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-181b-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-384-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-219a-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-155-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-210-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-9-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-144-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-126a-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-298-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-142a-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-124-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-let-7c-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-30e-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-let-7b-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-194-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-137-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-let-7g-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-9-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-let-7e-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-27a-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-181a-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-30a-5p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-222-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-127-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
mmu-miR-429-3p	ENSMUST00000082392.1	ENSMUSG00000064341	hyb	mouse
