mirna_id	mrna_id	gene_id	source_type	species
cel-miR-229-5p	Y110A7A.10.1	WBGene00000001	chira	worm
cel-miR-57-5p	F27C8.1.1	WBGene00000002	chira	worm
cel-miR-1820-5p	F27C8.1.1	WBGene00000002	chira	worm
cel-miR-51-5p	F07C3.7.1	WBGene00000003	chira	worm
cel-miR-82-3p	F07C3.7.1	WBGene00000003	chira	worm
cel-miR-58a-3p	F07C3.7.1	WBGene00000003	chira	worm
cel-miR-62	F07C3.7.1	WBGene00000003	chira	worm
cel-miR-47-3p	F07C3.7.1	WBGene00000003	chira	worm
cel-miR-64-5p	F07C3.7.1	WBGene00000003	chira	worm
cel-miR-90-3p	F07C3.7.1	WBGene00000003	chira	worm
cel-miR-54-3p	F07C3.7.1	WBGene00000003	chira	worm
cel-miR-71-5p	F07C3.7.1	WBGene00000003	chira	worm
cel-miR-52-5p	F52H2.2a.1	WBGene00000004	chira	worm
cel-miR-58a-3p	F52H2.2a.1	WBGene00000004	chira	worm
cel-miR-60-3p	F52H2.2a.1	WBGene00000004	chira	worm
cel-miR-73-3p	F52H2.2a.1	WBGene00000004	chira	worm
cel-miR-229-5p	F52H2.2a.1	WBGene00000004	chira	worm
cel-miR-80-3p	F52H2.2a.1	WBGene00000004	chira	worm
cel-miR-86-5p	F52H2.2a.1	WBGene00000004	chira	worm
cel-miR-64-5p	F52H2.2a.1	WBGene00000004	chira	worm
cel-miR-81-3p	F52H2.2a.1	WBGene00000004	chira	worm
cel-miR-52-5p	F52H2.2b.1	WBGene00000004	chira	worm
cel-miR-58a-3p	F52H2.2b.1	WBGene00000004	chira	worm
cel-miR-73-3p	F52H2.2b.1	WBGene00000004	chira	worm
cel-miR-229-5p	F52H2.2b.1	WBGene00000004	chira	worm
cel-miR-80-3p	F52H2.2b.1	WBGene00000004	chira	worm
cel-miR-86-5p	F52H2.2b.1	WBGene00000004	chira	worm
cel-miR-64-5p	F52H2.2b.1	WBGene00000004	chira	worm
cel-miR-81-3p	F52H2.2b.1	WBGene00000004	chira	worm
cel-miR-80-3p	T13A10.10a.1	WBGene00000005	chira	worm
cel-miR-51-5p	C55C2.5a.1	WBGene00000006	chira	worm
cel-miR-52-5p	C55C2.5a.1	WBGene00000006	chira	worm
cel-miR-233-3p	C55C2.5a.1	WBGene00000006	chira	worm
cel-miR-82-3p	C55C2.5a.1	WBGene00000006	chira	worm
cel-miR-58a-3p	C55C2.5a.1	WBGene00000006	chira	worm
cel-miR-1-3p	C55C2.5a.1	WBGene00000006	chira	worm
cel-miR-80-3p	C55C2.5a.1	WBGene00000006	chira	worm
cel-miR-79-3p	C55C2.5a.1	WBGene00000006	chira	worm
cel-miR-2-3p	C55C2.5a.1	WBGene00000006	chira	worm
cel-miR-64-5p	C55C2.5a.1	WBGene00000006	chira	worm
cel-miR-52-5p	T11F9.4a.1	WBGene00000007	chira	worm
cel-miR-46-3p	T11F9.4a.1	WBGene00000007	chira	worm
cel-miR-64-5p	T11F9.4a.1	WBGene00000007	chira	worm
cel-miR-235-3p	T11F9.4a.1	WBGene00000007	chira	worm
cel-miR-54-3p	T11F9.4a.1	WBGene00000007	chira	worm
cel-miR-238-3p	T11F9.4a.1	WBGene00000007	chira	worm
cel-miR-83-3p	T11F9.4a.1	WBGene00000007	chira	worm
cel-miR-54-3p	T11F9.4b.1	WBGene00000007	chira	worm
cel-miR-46-3p	T11F9.4b.1	WBGene00000007	chira	worm
cel-miR-238-3p	T11F9.4b.1	WBGene00000007	chira	worm
cel-miR-64-5p	T11F9.4b.1	WBGene00000007	chira	worm
cel-miR-51-5p	F54D12.3.1	WBGene00000008	chira	worm
cel-miR-229-5p	F54D12.3.1	WBGene00000008	chira	worm
cel-miR-65-5p	F54D12.3.1	WBGene00000008	chira	worm
cel-miR-64-5p	F54D12.3.1	WBGene00000008	chira	worm
cel-miR-60-3p	Y53H1C.1a.1	WBGene00000010	chira	worm
cel-miR-60-3p	Y53H1C.1b.1	WBGene00000010	chira	worm
cel-miR-82-3p	Y38H6C.22.1	WBGene00000015	chira	worm
cel-miR-245-3p	T22H6.5.1	WBGene00000016	chira	worm
cel-miR-54-3p	T22H6.7.1	WBGene00000017	chira	worm
cel-miR-52-5p	T22H6.7.1	WBGene00000017	chira	worm
cel-miR-238-3p	T22H6.7.1	WBGene00000017	chira	worm
cel-miR-53-5p	T22H6.7.1	WBGene00000017	chira	worm
cel-miR-51-5p	M79.1a.1	WBGene00000018	chira	worm
cel-miR-52-5p	M79.1a.1	WBGene00000018	chira	worm
cel-miR-58a-3p	M79.1a.1	WBGene00000018	chira	worm
cel-miR-54-3p	M79.1a.1	WBGene00000018	chira	worm
cel-miR-60-3p	M79.1a.1	WBGene00000018	chira	worm
cel-miR-45-3p	M79.1a.1	WBGene00000018	chira	worm
cel-miR-44-3p	M79.1a.1	WBGene00000018	chira	worm
cel-miR-49-3p	M79.1a.1	WBGene00000018	chira	worm
cel-let-7-5p	M79.1a.1	WBGene00000018	chira	worm
cel-miR-64-5p	M79.1a.1	WBGene00000018	chira	worm
cel-miR-235-3p	M79.1a.1	WBGene00000018	chira	worm
cel-miR-238-3p	M79.1a.1	WBGene00000018	chira	worm
cel-miR-53-5p	M79.1a.1	WBGene00000018	chira	worm
cel-miR-51-5p	M79.1b.1	WBGene00000018	chira	worm
cel-miR-82-3p	M79.1b.1	WBGene00000018	chira	worm
cel-miR-58a-3p	M79.1b.1	WBGene00000018	chira	worm
cel-miR-60-3p	M79.1b.1	WBGene00000018	chira	worm
cel-miR-44-3p	M79.1b.1	WBGene00000018	chira	worm
cel-miR-49-3p	M79.1b.1	WBGene00000018	chira	worm
cel-miR-54-3p	M79.1b.1	WBGene00000018	chira	worm
cel-miR-235-3p	M79.1b.1	WBGene00000018	chira	worm
cel-miR-238-3p	M79.1b.1	WBGene00000018	chira	worm
cel-miR-77-3p	M79.1b.1	WBGene00000018	chira	worm
cel-miR-71-5p	M79.1b.1	WBGene00000018	chira	worm
cel-miR-52-5p	M79.1b.1	WBGene00000018	chira	worm
cel-miR-45-3p	M79.1b.1	WBGene00000018	chira	worm
cel-miR-62	M79.1b.1	WBGene00000018	chira	worm
cel-let-7-5p	M79.1b.1	WBGene00000018	chira	worm
cel-miR-64-5p	M79.1b.1	WBGene00000018	chira	worm
cel-miR-53-5p	M79.1b.1	WBGene00000018	chira	worm
cel-miR-51-5p	M79.1c.1	WBGene00000018	chira	worm
cel-miR-52-5p	M79.1c.1	WBGene00000018	chira	worm
cel-miR-58a-3p	M79.1c.1	WBGene00000018	chira	worm
cel-miR-54-3p	M79.1c.1	WBGene00000018	chira	worm
cel-miR-60-3p	M79.1c.1	WBGene00000018	chira	worm
cel-miR-45-3p	M79.1c.1	WBGene00000018	chira	worm
cel-miR-44-3p	M79.1c.1	WBGene00000018	chira	worm
cel-miR-49-3p	M79.1c.1	WBGene00000018	chira	worm
cel-let-7-5p	M79.1c.1	WBGene00000018	chira	worm
cel-miR-64-5p	M79.1c.1	WBGene00000018	chira	worm
cel-miR-235-3p	M79.1c.1	WBGene00000018	chira	worm
cel-miR-238-3p	M79.1c.1	WBGene00000018	chira	worm
cel-miR-51-5p	M79.1d.1	WBGene00000018	chira	worm
cel-miR-52-5p	M79.1d.1	WBGene00000018	chira	worm
cel-miR-58a-3p	M79.1d.1	WBGene00000018	chira	worm
cel-miR-54-3p	M79.1d.1	WBGene00000018	chira	worm
cel-miR-60-3p	M79.1d.1	WBGene00000018	chira	worm
cel-miR-45-3p	M79.1d.1	WBGene00000018	chira	worm
cel-miR-44-3p	M79.1d.1	WBGene00000018	chira	worm
cel-miR-49-3p	M79.1d.1	WBGene00000018	chira	worm
cel-let-7-5p	M79.1d.1	WBGene00000018	chira	worm
cel-miR-64-5p	M79.1d.1	WBGene00000018	chira	worm
cel-miR-235-3p	M79.1d.1	WBGene00000018	chira	worm
cel-miR-238-3p	M79.1d.1	WBGene00000018	chira	worm
cel-miR-53-5p	M79.1d.1	WBGene00000018	chira	worm
cel-miR-51-5p	M79.1e.1	WBGene00000018	chira	worm
cel-miR-52-5p	M79.1e.1	WBGene00000018	chira	worm
cel-miR-58a-3p	M79.1e.1	WBGene00000018	chira	worm
cel-miR-54-3p	M79.1e.1	WBGene00000018	chira	worm
cel-miR-60-3p	M79.1e.1	WBGene00000018	chira	worm
cel-miR-45-3p	M79.1e.1	WBGene00000018	chira	worm
cel-miR-44-3p	M79.1e.1	WBGene00000018	chira	worm
cel-miR-49-3p	M79.1e.1	WBGene00000018	chira	worm
cel-let-7-5p	M79.1e.1	WBGene00000018	chira	worm
cel-miR-64-5p	M79.1e.1	WBGene00000018	chira	worm
cel-miR-235-3p	M79.1e.1	WBGene00000018	chira	worm
cel-miR-238-3p	M79.1e.1	WBGene00000018	chira	worm
