mirna_id	mrna_id	gene_id	source_type	species
cel-miR-57-5p	F27C8.1.1	WBGene00000002	hyb	worm
cel-miR-1820-5p	F27C8.1.1	WBGene00000002	hyb	worm
cel-miR-51-5p	F07C3.7.1	WBGene00000003	hyb	worm
cel-miR-82-3p	F07C3.7.1	WBGene00000003	hyb	worm
cel-miR-58a-3p	F07C3.7.1	WBGene00000003	hyb	worm
cel-miR-62	F07C3.7.1	WBGene00000003	hyb	worm
cel-miR-64-5p	F07C3.7.1	WBGene00000003	hyb	worm
cel-miR-90-3p	F07C3.7.1	WBGene00000003	hyb	worm
cel-miR-54-3p	F07C3.7.1	WBGene00000003	hyb	worm
cel-miR-71-5p	F07C3.7.1	WBGene00000003	hyb	worm
cel-miR-58a-3p	F52H2.2b.1	WBGene00000004	hyb	worm
cel-miR-60-3p	F52H2.2b.1	WBGene00000004	hyb	worm
cel-miR-73-3p	F52H2.2b.1	WBGene00000004	hyb	worm
cel-miR-80-3p	F52H2.2b.1	WBGene00000004	hyb	worm
cel-miR-229-5p	F52H2.2b.1	WBGene00000004	hyb	worm
cel-miR-86-5p	F52H2.2b.1	WBGene00000004	hyb	worm
cel-miR-64-5p	F52H2.2b.1	WBGene00000004	hyb	worm
cel-miR-81-3p	F52H2.2b.1	WBGene00000004	hyb	worm
cel-miR-51-5p	C55C2.5a.1	WBGene00000006	hyb	worm
cel-miR-52-5p	C55C2.5a.1	WBGene00000006	hyb	worm
cel-miR-233-3p	C55C2.5a.1	WBGene00000006	hyb	worm
cel-miR-82-3p	C55C2.5a.1	WBGene00000006	hyb	worm
cel-miR-1-3p	C55C2.5a.1	WBGene00000006	hyb	worm
cel-miR-80-3p	C55C2.5a.1	WBGene00000006	hyb	worm
cel-miR-79-3p	C55C2.5a.1	WBGene00000006	hyb	worm
cel-miR-46-3p	C55C2.5a.1	WBGene00000006	hyb	worm
cel-miR-2-3p	C55C2.5a.1	WBGene00000006	hyb	worm
cel-miR-64-5p	C55C2.5a.1	WBGene00000006	hyb	worm
cel-miR-54-3p	T11F9.4a.1	WBGene00000007	hyb	worm
cel-miR-52-5p	T11F9.4a.1	WBGene00000007	hyb	worm
cel-miR-46-3p	T11F9.4a.1	WBGene00000007	hyb	worm
cel-miR-83-3p	T11F9.4a.1	WBGene00000007	hyb	worm
cel-miR-51-5p	F54D12.3.1	WBGene00000008	hyb	worm
