gene ID,gene name,mRNA,miRNAs
WBGene00000001,aap-1,Y110A7A.10.1,"cel-miR-788-5p,cel-miR-52-5p,cel-miR-47-3p,cel-miR-231-3p,cel-miR-71-3p,cel-miR-64-5p,cel-miR-229-5p"
WBGene00000002,aat-1,F27C8.1.1,"cel-miR-57-5p,cel-miR-51-5p,cel-miR-52-5p,cel-miR-1-3p,cel-miR-1820-5p,cel-miR-73-3p,cel-miR-45-3p,cel-miR-44-3p,cel-miR-86-5p,cel-miR-2-3p,cel-miR-235-3p,cel-miR-54-3p,cel-lin-4-5p,cel-miR-77-3p"
WBGene00000003,aat-2,F07C3.7.1,"cel-miR-57-5p,cel-miR-51-5p,cel-miR-52-5p,cel-miR-58a-3p,cel-miR-82-3p,cel-miR-80-3p,cel-miR-62,cel-miR-47-3p,cel-miR-64-5p,cel-miR-90-3p,cel-miR-54-3p,cel-miR-70-3p,cel-miR-71-5p"
WBGene00000004,aat-3,F52H2.2a.1,"cel-miR-51-5p,cel-miR-58a-3p,cel-miR-60-3p,cel-miR-73-3p,cel-miR-241-5p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-86-5p,cel-miR-79-3p,cel-miR-54-3p,cel-miR-81-3p,cel-miR-70-3p,cel-miR-48-5p,cel-miR-64-5p,cel-miR-90-3p,cel-miR-53-5p"
WBGene00000004,aat-3,F52H2.2b.1,"cel-miR-51-5p,cel-miR-58a-3p,cel-miR-60-3p,cel-miR-73-3p,cel-miR-241-5p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-86-5p,cel-miR-79-3p,cel-miR-54-3p,cel-miR-81-3p,cel-miR-70-3p,cel-miR-52-5p,cel-miR-75-3p,cel-miR-228-5p,cel-miR-48-5p,cel-miR-64-5p,cel-miR-90-3p,cel-miR-53-5p"
WBGene00000005,aat-4,T13A10.10a.1,"cel-miR-58a-3p,cel-miR-82-3p,cel-miR-60-3p,cel-miR-80-3p,cel-miR-44-3p,cel-miR-229-5p,cel-miR-86-5p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-52-5p,cel-miR-75-3p,cel-miR-228-5p,cel-miR-34-3p,cel-miR-45-3p,cel-miR-48-5p,cel-miR-64-5p,cel-miR-90-3p,cel-miR-65-5p"
WBGene00000006,aat-5,C55C2.5a.1,"cel-miR-51-5p,cel-miR-233-3p,cel-miR-58a-3p,cel-miR-1-3p,cel-miR-82-3p,cel-miR-60-3p,cel-miR-241-5p,cel-miR-80-3p,cel-miR-79-3p,cel-miR-71-5p,cel-miR-52-5p,cel-miR-58a-5p,cel-miR-48-5p,cel-miR-46-3p,cel-miR-2-3p,cel-miR-64-5p"
WBGene00000007,aat-6,T11F9.4a.1,"cel-miR-72-5p,cel-miR-55-3p,cel-miR-1-3p,cel-miR-1-5p,cel-miR-73-3p,cel-miR-44-3p,cel-miR-46-5p,cel-miR-239b-5p,cel-miR-74-3p,cel-miR-54-5p,cel-miR-247-3p,cel-miR-41-3p,cel-miR-54-3p,cel-miR-39-3p,cel-miR-81-3p,cel-miR-52-5p,cel-miR-245-3p,cel-miR-36-3p,cel-miR-228-5p,cel-miR-75-3p,cel-miR-56-3p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-58a-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-235-3p,cel-miR-70-3p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-45-3p,cel-miR-252-5p,cel-let-7-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p,cel-miR-83-3p"
WBGene00000007,aat-6,T11F9.4b.1,"cel-miR-72-5p,cel-miR-55-3p,cel-miR-1-3p,cel-miR-1-5p,cel-miR-73-3p,cel-miR-44-3p,cel-miR-46-5p,cel-miR-74-3p,cel-miR-54-5p,cel-miR-247-3p,cel-miR-41-3p,cel-miR-54-3p,cel-miR-39-3p,cel-miR-81-3p,cel-miR-52-5p,cel-miR-245-3p,cel-miR-36-3p,cel-miR-228-5p,cel-miR-75-3p,cel-miR-56-3p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-58a-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-235-3p,cel-miR-70-3p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-45-3p,cel-miR-252-5p,cel-let-7-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00000008,aat-7,F54D12.3.1,"cel-miR-57-5p,cel-miR-788-5p,cel-miR-51-5p,cel-miR-58a-3p,cel-miR-60-3p,cel-miR-73-3p,cel-miR-45-3p,cel-miR-229-5p,cel-miR-44-3p,cel-let-7-5p,cel-miR-64-5p,cel-miR-65-5p"
WBGene00000009,aat-8,F28F9.4.1,"cel-miR-72-5p,cel-miR-228-5p,cel-miR-241-5p,cel-miR-45-3p,cel-miR-229-5p,cel-miR-44-3p,cel-miR-67-3p,cel-miR-34-5p,cel-let-7-5p,cel-miR-90-3p,cel-miR-54-3p,cel-miR-81-3p"
WBGene00000010,aat-9,Y53H1C.1a.1,"cel-miR-84-5p,cel-miR-55-3p,cel-miR-2-3p,cel-miR-60-3p,cel-lin-4-5p,cel-miR-65-5p"
WBGene00000010,aat-9,Y53H1C.1b.1,"cel-miR-84-5p,cel-miR-55-3p,cel-miR-2-3p,cel-miR-60-3p,cel-lin-4-5p,cel-miR-65-5p"
WBGene00000012,abf-1,C50F2.9.1,-
