stage,seed,val_pr_auc,val_f1,val_roc_auc,test_f1,test_pr_auc,test_roc_auc,test_accuracy,test_precision,test_recall
1,2020,0.9766174343695304,0.8837209302325582,,0.7541792271855303,0.8457895910717279,0.8851278598603455,0.7770320656226697,0.8018648018648019,0.7118468701500259
1,2025,0.975673488025184,0.8798449612403101,,0.7514356029532404,0.8329565760020726,0.8788431597264336,0.7740492170022372,0.796983758700696,0.710812209001552
1,2026,0.9776140073536989,0.8841698841698842,,0.734375,0.8461766682002679,0.8811117409287692,0.7633606761123539,0.7970926711084192,0.6808070356958096
2,2020,0.9726340115826326,0.8737864077669902,,0.7258217746532396,0.8095754793058326,0.8417253098414097,0.6413124533929903,0.5735735735735735,0.9881013967925505
2,2025,0.9649068391103474,0.8542713567839196,,0.771311475409836,0.8017970838936003,0.8353787280598619,0.7225950782997763,0.6386155412283678,0.9736161407139162
2,2026,0.9646422974272656,0.8514056224899599,,0.7766749379652605,0.7920188154619792,0.8453701388871699,0.7315436241610739,0.6469169824319669,0.9715468184169684
3,2020,0.9825116156003121,0.9646464646464646,0.966839122936684,0.9559376679204729,0.990570786656128,0.9887195487819512,0.9590307269547839,0.9888827126181212,0.9251170046801872
3,2025,0.9976535967891325,0.9876543209876543,0.9953190440995318,0.983883751651255,0.9906746540837748,0.984071862874515,0.9847614289283038,1.0,0.968278731149246
3,2026,0.9823970050260169,0.9620253164556962,0.9690564178369057,0.9578378378378378,0.9907211399168925,0.9884170366814673,0.9610292280789408,0.9971862689926843,0.9214768590743629
3-ext150,2020,,,,0.9784860557768924,0.9867279639697875,0.9779816192647706,0.9797651761179116,1.0,0.9578783151326054
3-ext150,2025,,,,0.9763108863454885,0.9960489137731721,0.9946222848913958,0.9777666749937547,1.0,0.9537181487259491
3-ext150,2026,,,,0.9757656458055926,0.9875689665758683,0.9795366814672586,0.9772670497127155,1.0,0.952678107124285
