dataset,K,selector,seed,PR-AUC,ROC-AUC,F1,Precision,Recall,Accuracy
miRAW,8,S0,2020,0.9940387044048659,0.9905639457134474,0.9754624386560966,0.9980687524140595,0.9538575119970469,0.976098547527119
miRAW,8,S1,2020,0.994174406315365,0.9930306250904256,0.9718283229343921,0.9961240310077519,0.9486895533407161,0.972605258319544
miRAW,8,S2,2020,0.9932499715731447,0.9885133938290085,0.9771568812535397,1.0,0.9553340716131414,0.9777532634675492
miRAW,16,S0,2020,0.9959953494141585,0.9931722639363835,0.977970250423649,0.9980784012298232,0.958656330749354,0.9784886927744071
miRAW,16,S1,2020,0.9955726378882855,0.9938551051507862,0.9719165085388994,1.0,0.9453672942045035,0.9727891156462585
miRAW,16,S2,2020,0.9942919429669689,0.9933243820287009,0.9741069741069741,0.9980635166537568,0.9512735326688815,0.9748115462401177
deepTargetPro,8,S0,2020,0.9952000832526959,0.9936697467898716,0.9734466277217206,0.9945740640260445,0.953198127925117,0.975018735948039
deepTargetPro,8,S1,2020,0.9938294438953935,0.9903671146845874,0.9754928076718167,1.0,0.9521580863234529,0.9770172370721959
deepTargetPro,8,S2,2020,0.9949050563123483,0.9927247089883595,0.9733048585157501,1.0,0.9479979199167967,0.975018735948039
deepTargetPro,16,S0,2020,0.9938983206946623,0.9917584203368134,0.9687082107515378,0.9972466960352423,0.9417576703068122,0.9707719210592056
deepTargetPro,16,S1,2020,0.9919538489310512,0.9897008380335214,0.9603004291845494,0.9916897506925207,0.9308372334893396,0.9630277292030976
deepTargetPro,16,S2,2020,0.9925985723114532,0.9902758610344414,0.9673133138453361,0.9891304347826086,0.9464378575143005,0.9692730452160879
