curve,train_K,method,split,K,seed,metric,value,dataset
retrain,8.0,BRMIL,test,8,2020,aupr,0.99492474,miRAW
retrain,8.0,BRMIL,test,8,2020,f1@0.5,0.974057944,miRAW
retrain,8.0,BRMIL,test,8,2025,aupr,0.994854202,miRAW
retrain,8.0,BRMIL,test,8,2025,f1@0.5,0.958437081,miRAW
retrain,8.0,BRMIL,test,8,2026,aupr,0.989914123,miRAW
retrain,8.0,BRMIL,test,8,2026,f1@0.5,0.964782029,miRAW
retrain,16.0,BRMIL,test,16,2020,aupr,0.992459274,miRAW
retrain,16.0,BRMIL,test,16,2020,f1@0.5,0.969432314,miRAW
retrain,16.0,BRMIL,test,16,2025,aupr,0.996684584,miRAW
retrain,16.0,BRMIL,test,16,2025,f1@0.5,0.969099526,miRAW
retrain,16.0,BRMIL,test,16,2026,aupr,0.995438129,miRAW
retrain,16.0,BRMIL,test,16,2026,f1@0.5,0.971190296,miRAW
retrain,32.0,BRMIL,test,32,2020,aupr,0.99520922,miRAW
retrain,32.0,BRMIL,test,32,2020,f1@0.5,0.972890995,miRAW
retrain,32.0,BRMIL,test,32,2025,aupr,0.993629868,miRAW
retrain,32.0,BRMIL,test,32,2025,f1@0.5,0.975315621,miRAW
retrain,32.0,BRMIL,test,32,2026,aupr,0.992709198,miRAW
retrain,32.0,BRMIL,test,32,2026,f1@0.5,0.972111554,miRAW
retrain,64.0,BRMIL,test,64,2020,aupr,0.996134205,miRAW
retrain,64.0,BRMIL,test,64,2020,f1@0.5,0.973965162,miRAW
retrain,64.0,BRMIL,test,64,2025,aupr,0.994811096,miRAW
retrain,64.0,BRMIL,test,64,2025,f1@0.5,0.970940171,miRAW
retrain,64.0,BRMIL,test,64,2026,aupr,0.992912406,miRAW
retrain,64.0,BRMIL,test,64,2026,f1@0.5,0.963458963,miRAW
retrain,128.0,BRMIL,test,128,2020,aupr,0.995559421,miRAW
retrain,128.0,BRMIL,test,128,2020,f1@0.5,0.970744681,miRAW
retrain,128.0,BRMIL,test,128,2025,aupr,0.992675737,miRAW
retrain,128.0,BRMIL,test,128,2025,f1@0.5,0.970995261,miRAW
retrain,128.0,BRMIL,test,128,2026,aupr,0.995988393,miRAW
retrain,128.0,BRMIL,test,128,2026,f1@0.5,0.975416036,miRAW
retrain,256.0,BRMIL,test,256,2020,aupr,0.993397689,miRAW
retrain,256.0,BRMIL,test,256,2020,f1@0.5,0.968256985,miRAW
retrain,256.0,BRMIL,test,256,2025,aupr,0.993185579,miRAW
retrain,256.0,BRMIL,test,256,2025,f1@0.5,0.969040836,miRAW
retrain,256.0,BRMIL,test,256,2026,aupr,0.990656896,miRAW
retrain,256.0,BRMIL,test,256,2026,f1@0.5,0.967606707,miRAW
retrain,512.0,BRMIL,test,512,2020,aupr,0.993899203,miRAW
retrain,512.0,BRMIL,test,512,2020,f1@0.5,0.970409712,miRAW
retrain,512.0,BRMIL,test,512,2025,aupr,0.993956585,miRAW
retrain,512.0,BRMIL,test,512,2025,f1@0.5,0.970995261,miRAW
retrain,512.0,BRMIL,test,512,2026,aupr,0.99130979,miRAW
retrain,512.0,BRMIL,test,512,2026,f1@0.5,0.972164363,miRAW
trunc,512.0,BRMIL,test,8,2020,aupr,0.654194427,miRAW
trunc,512.0,BRMIL,test,8,2020,f1@0.5,0.83341304,miRAW
trunc,512.0,BRMIL,test,8,2025,aupr,0.880095267,miRAW
trunc,512.0,BRMIL,test,8,2025,f1@0.5,0.812548775,miRAW
trunc,512.0,BRMIL,test,8,2026,aupr,0.882796233,miRAW
trunc,512.0,BRMIL,test,8,2026,f1@0.5,0.843976527,miRAW
trunc,512.0,BRMIL,test,16,2020,aupr,0.685960124,miRAW
trunc,512.0,BRMIL,test,16,2020,f1@0.5,0.831864081,miRAW
trunc,512.0,BRMIL,test,16,2025,aupr,0.925292214,miRAW
trunc,512.0,BRMIL,test,16,2025,f1@0.5,0.840175239,miRAW
trunc,512.0,BRMIL,test,16,2026,aupr,0.91527725,miRAW
trunc,512.0,BRMIL,test,16,2026,f1@0.5,0.866242038,miRAW
trunc,512.0,BRMIL,test,32,2020,aupr,0.729178585,miRAW
trunc,512.0,BRMIL,test,32,2020,f1@0.5,0.858430718,miRAW
trunc,512.0,BRMIL,test,32,2025,aupr,0.941965539,miRAW
trunc,512.0,BRMIL,test,32,2025,f1@0.5,0.856667222,miRAW
trunc,512.0,BRMIL,test,32,2026,aupr,0.9355441,miRAW
trunc,512.0,BRMIL,test,32,2026,f1@0.5,0.88316904,miRAW
trunc,512.0,BRMIL,test,64,2020,aupr,0.780462395,miRAW
trunc,512.0,BRMIL,test,64,2020,f1@0.5,0.876246133,miRAW
trunc,512.0,BRMIL,test,64,2025,aupr,0.953619135,miRAW
trunc,512.0,BRMIL,test,64,2025,f1@0.5,0.877665927,miRAW
trunc,512.0,BRMIL,test,64,2026,aupr,0.949764509,miRAW
trunc,512.0,BRMIL,test,64,2026,f1@0.5,0.903105821,miRAW
trunc,512.0,BRMIL,test,128,2020,aupr,0.847879692,miRAW
trunc,512.0,BRMIL,test,128,2020,f1@0.5,0.894951284,miRAW
trunc,512.0,BRMIL,test,128,2025,aupr,0.968840208,miRAW
trunc,512.0,BRMIL,test,128,2025,f1@0.5,0.909895557,miRAW
trunc,512.0,BRMIL,test,128,2026,aupr,0.967450047,miRAW
trunc,512.0,BRMIL,test,128,2026,f1@0.5,0.929556185,miRAW
trunc,512.0,BRMIL,test,256,2020,aupr,0.924148317,miRAW
trunc,512.0,BRMIL,test,256,2020,f1@0.5,0.928808558,miRAW
trunc,512.0,BRMIL,test,256,2025,aupr,0.983331557,miRAW
trunc,512.0,BRMIL,test,256,2025,f1@0.5,0.942020983,miRAW
trunc,512.0,BRMIL,test,256,2026,aupr,0.98116389,miRAW
trunc,512.0,BRMIL,test,256,2026,f1@0.5,0.939283662,miRAW
trunc,512.0,BRMIL,test,512,2020,aupr,0.992504892,miRAW
trunc,512.0,BRMIL,test,512,2020,f1@0.5,0.958636538,miRAW
trunc,512.0,BRMIL,test,512,2025,aupr,0.994507907,miRAW
trunc,512.0,BRMIL,test,512,2025,f1@0.5,0.971721389,miRAW
