curve,train_K,method,split,K,seed,metric,value
trunc,512.0,BRMIL,test,8,0,aupr,0.900609434
trunc,512.0,BRMIL,test,8,0,auroc,0.948440024
trunc,512.0,BRMIL,test,8,1,aupr,0.901500902
trunc,512.0,BRMIL,test,8,1,auroc,0.951410847
trunc,512.0,BRMIL,test,8,2,aupr,0.89609793
trunc,512.0,BRMIL,test,8,2,auroc,0.948046731
trunc,512.0,BRMIL,test,16,0,aupr,0.945487824
trunc,512.0,BRMIL,test,16,0,auroc,0.974810458
trunc,512.0,BRMIL,test,16,1,aupr,0.945198541
trunc,512.0,BRMIL,test,16,1,auroc,0.974005256
trunc,512.0,BRMIL,test,16,2,aupr,0.946990939
trunc,512.0,BRMIL,test,16,2,auroc,0.97645151
trunc,512.0,BRMIL,test,32,0,aupr,0.965022013
trunc,512.0,BRMIL,test,32,0,auroc,0.98627745
trunc,512.0,BRMIL,test,32,1,aupr,0.96582497
trunc,512.0,BRMIL,test,32,1,auroc,0.98329765
trunc,512.0,BRMIL,test,32,2,aupr,0.965627453
trunc,512.0,BRMIL,test,32,2,auroc,0.983148265
trunc,512.0,BRMIL,test,64,0,aupr,0.975190101
trunc,512.0,BRMIL,test,64,0,auroc,0.987933628
trunc,512.0,BRMIL,test,64,1,aupr,0.973063475
trunc,512.0,BRMIL,test,64,1,auroc,0.986987123
trunc,512.0,BRMIL,test,64,2,aupr,0.975878283
trunc,512.0,BRMIL,test,64,2,auroc,0.987776723
trunc,512.0,BRMIL,test,128,0,aupr,0.976289425
trunc,512.0,BRMIL,test,128,0,auroc,0.988739174
trunc,512.0,BRMIL,test,128,1,aupr,0.978210699
trunc,512.0,BRMIL,test,128,1,auroc,0.989815541
trunc,512.0,BRMIL,test,128,2,aupr,0.977971546
trunc,512.0,BRMIL,test,128,2,auroc,0.989913606
trunc,512.0,BRMIL,test,256,0,aupr,0.983042987
trunc,512.0,BRMIL,test,256,0,auroc,0.98912086
trunc,512.0,BRMIL,test,256,1,aupr,0.977735206
trunc,512.0,BRMIL,test,256,1,auroc,0.988509823
trunc,512.0,BRMIL,test,256,2,aupr,0.979991651
trunc,512.0,BRMIL,test,256,2,auroc,0.991423941
retrain,8.0,BRMIL,test,8,0,aupr,0.915103946
retrain,8.0,BRMIL,test,8,0,auroc,0.964366457
retrain,8.0,BRMIL,test,8,1,aupr,0.913327612
retrain,8.0,BRMIL,test,8,1,auroc,0.967049806
retrain,8.0,BRMIL,test,8,2,aupr,0.91724695
retrain,8.0,BRMIL,test,8,2,auroc,0.966856416
retrain,16.0,BRMIL,test,16,0,aupr,0.922007654
retrain,16.0,BRMIL,test,16,0,auroc,0.973327043
retrain,16.0,BRMIL,test,16,1,aupr,0.923963143
retrain,16.0,BRMIL,test,16,1,auroc,0.973302792
retrain,16.0,BRMIL,test,16,2,aupr,0.92585
retrain,16.0,BRMIL,test,16,2,auroc,0.973311625
retrain,32.0,BRMIL,test,32,0,aupr,0.944247063
retrain,32.0,BRMIL,test,32,0,auroc,0.984031485
retrain,32.0,BRMIL,test,32,1,aupr,0.943272577
retrain,32.0,BRMIL,test,32,1,auroc,0.985046162
retrain,32.0,BRMIL,test,32,2,aupr,0.938906889
retrain,32.0,BRMIL,test,32,2,auroc,0.983334435
retrain,64.0,BRMIL,test,64,0,aupr,0.956592767
retrain,64.0,BRMIL,test,64,0,auroc,0.989804187
retrain,64.0,BRMIL,test,64,1,aupr,0.957080843
retrain,64.0,BRMIL,test,64,1,auroc,0.993645061
retrain,64.0,BRMIL,test,64,2,aupr,0.955604121
retrain,64.0,BRMIL,test,64,2,auroc,0.992697068
retrain,128.0,BRMIL,test,128,0,aupr,0.938406439
retrain,128.0,BRMIL,test,128,0,auroc,0.984210691
retrain,128.0,BRMIL,test,128,1,aupr,0.943020496
retrain,128.0,BRMIL,test,128,1,auroc,0.985868684
retrain,128.0,BRMIL,test,128,2,aupr,0.94439168
retrain,128.0,BRMIL,test,128,2,auroc,0.986241509
retrain,256.0,BRMIL,test,256,0,aupr,0.924799575
retrain,256.0,BRMIL,test,256,0,auroc,0.974809867
retrain,256.0,BRMIL,test,256,1,aupr,0.927816327
retrain,256.0,BRMIL,test,256,1,auroc,0.975297752
retrain,256.0,BRMIL,test,256,2,aupr,0.922482172
