curve,train_K,method,split,K,seed,metric,value
retrain,8,BRMIL,test,8,2020,aupr,0.9949247403518008
retrain,8,BRMIL,test,8,2020,f1@0.5,0.9740579435712932
retrain,8,BRMIL,test,8,2025,aupr,0.9948542020380552
retrain,8,BRMIL,test,8,2025,f1@0.5,0.958437081018962
retrain,8,BRMIL,test,8,2026,aupr,0.9899141225684704
retrain,8,BRMIL,test,8,2026,f1@0.5,0.964782029316581
retrain,16,BRMIL,test,16,2020,aupr,0.9924592742552278
retrain,16,BRMIL,test,16,2020,f1@0.5,0.9694323144104804
retrain,16,BRMIL,test,16,2025,aupr,0.996684583759431
retrain,16,BRMIL,test,16,2025,f1@0.5,0.9690995260663507
retrain,16,BRMIL,test,16,2026,aupr,0.995438128772422
retrain,16,BRMIL,test,16,2026,f1@0.5,0.9711902956785444
retrain,32,BRMIL,test,32,2020,aupr,0.9952092204070392
retrain,32,BRMIL,test,32,2020,f1@0.5,0.9728909952606636
retrain,32,BRMIL,test,32,2025,aupr,0.9936298683030352
retrain,32,BRMIL,test,32,2025,f1@0.5,0.9753156208780857
retrain,32,BRMIL,test,32,2026,aupr,0.9927091975949348
retrain,32,BRMIL,test,32,2026,f1@0.5,0.9721115537848606
retrain,64,BRMIL,test,64,2020,aupr,0.9961342045229912
retrain,64,BRMIL,test,64,2020,f1@0.5,0.9739651620153588
retrain,64,BRMIL,test,64,2025,aupr,0.9948110964823894
retrain,64,BRMIL,test,64,2025,f1@0.5,0.9709401709401708
retrain,64,BRMIL,test,64,2026,aupr,0.9929124058910266
retrain,64,BRMIL,test,64,2026,f1@0.5,0.9634589630763344
retrain,128,BRMIL,test,128,2020,aupr,0.9955594206263276
retrain,128,BRMIL,test,128,2020,f1@0.5,0.9707446808510638
retrain,128,BRMIL,test,128,2025,aupr,0.9926757366512924
retrain,128,BRMIL,test,128,2025,f1@0.5,0.970995260663507
retrain,128,BRMIL,test,128,2026,aupr,0.9959883932702092
retrain,128,BRMIL,test,128,2026,f1@0.5,0.9754160363086232
retrain,256,BRMIL,test,256,2020,aupr,0.9933976893900422
retrain,256,BRMIL,test,256,2020,f1@0.5,0.9682569853639992
retrain,256,BRMIL,test,256,2025,aupr,0.9931855793674778
retrain,256,BRMIL,test,256,2025,f1@0.5,0.9690408357075024
retrain,256,BRMIL,test,256,2026,aupr,0.990656895971132
retrain,256,BRMIL,test,256,2026,f1@0.5,0.9676067073170732
retrain,512,BRMIL,test,512,2020,aupr,0.9938992025816278
retrain,512,BRMIL,test,512,2020,f1@0.5,0.9704097116843704
retrain,512,BRMIL,test,512,2025,aupr,0.9939565851310488
retrain,512,BRMIL,test,512,2025,f1@0.5,0.970995260663507
retrain,512,BRMIL,test,512,2026,aupr,0.9913097901710634
retrain,512,BRMIL,test,512,2026,f1@0.5,0.972164362810074
trunc,512,BRMIL,test,8,2020,aupr,0.6541944268573705
trunc,512,BRMIL,test,8,2020,aupr,0.8800952666119249
trunc,512,BRMIL,test,8,2020,aupr,0.8827962334592481
trunc,512,BRMIL,test,8,2020,f1@0.5,0.8334130400127532
trunc,512,BRMIL,test,8,2020,f1@0.5,0.812548774777587
trunc,512,BRMIL,test,8,2020,f1@0.5,0.8439765274421815
trunc,512,BRMIL,test,16,2020,aupr,0.6859601236474012
trunc,512,BRMIL,test,16,2020,aupr,0.9252922141871056
trunc,512,BRMIL,test,16,2020,aupr,0.9152772503753388
