run_id,name,state,batch_size,kmax,seed,best_pr_auc,best_f1@0.5
0ebljf9a,kmax=512_seed=2020,finished,64,512,2020,0.9938992025816278,0.9704097116843704
umlbxi0j,kmax=256_seed=2020,finished,64,256,2020,0.9933976893900422,0.9682569853639992
fzmcrnbi,kmax=128_seed=2020,finished,64,128,2020,0.9955594206263276,0.9707446808510638
dfqop6or,kmax=64_seed=2020,finished,64,64,2020,0.9961342045229912,0.9739651620153588
5jit8qbv,kmax=64_seed=2025,finished,64,64,2025,0.9948110964823894,0.9709401709401708
n8zwdsyo,kmax=256_seed=2025,finished,64,256,2025,0.9931855793674778,0.9690408357075024
1kuqovj9,kmax=128_seed=2025,finished,64,128,2025,0.9926757366512924,0.970995260663507
6t8096e5,kmax=512_seed=2025,finished,64,512,2025,0.9939565851310488,0.970995260663507
h93pu3fh,kmax=256_seed=2026,finished,64,256,2026,0.990656895971132,0.9676067073170732
1pqfkvc7,kmax=64_seed=2026,finished,64,64,2026,0.9929124058910266,0.9634589630763344
9lpzc3xj,kmax=128_seed=2026,finished,64,128,2026,0.9959883932702092,0.9754160363086232
yk0qtj1d,kmax=512_seed=2026,finished,64,512,2026,0.9913097901710634,0.972164362810074
dqkk1v61,kmax=32_seed=2020,finished,64,32,2020,0.9952092204070392,0.9728909952606636
y97zjzph,kmax=16_seed=2020,finished,64,16,2020,0.9924592742552278,0.9694323144104804
zwbpeio1,kmax=8_seed=2020,finished,64,8,2020,0.9949247403518008,0.9740579435712932
wco5b3x7,kmax=32_seed=2025,finished,64,32,2025,0.9936298683030352,0.9753156208780857
fuloo8hb,kmax=32_seed=2026,finished,64,32,2026,0.9927091975949348,0.9721115537848606
04qrs1ob,kmax=8_seed=2025,finished,64,8,2025,0.9948542020380552,0.958437081018962
t0zervl2,kmax=16_seed=2025,finished,64,16,2025,0.996684583759431,0.9690995260663507
heqzk1i0,kmax=8_seed=2026,finished,64,8,2026,0.9899141225684704,0.964782029316581
wpg6yws1,kmax=16_seed=2026,finished,64,16,2026,0.995438128772422,0.9711902956785444
